_id,รายการ,สวนสัตว์,ปีงบประมาณ,ต.ค. 67,พ.ย. 67,ธ.ค. 67,ม.ค.68,ก.พ. 68,มี.ค. 68,เม.ย. 68,พ.ค. 68,มิ.ย. 68,ก.ค. 68,ส.ค. 68,ก.ย. 68
38,เด็ก,สวนสัตว์อุบลราชธานี,2568," 12,776 "," 4,392 "," 4,866 "," 4,720 "," 2,484 "," 2,837 "," 4,500 "," 2,676 "," 2,027 "," 2,977 "," 2,888 "," 1,549 "
39,โครงการให้บริการความรู้ อสส.,สวนสัตว์อุบลราชธานี,2568, 851 ," 2,229 "," 4,945 "," 5,224 "," 13,287 "," 9,849 ", 122 , 219 , 577 ," 1,867 "," 7,842 "," 10,071 "
40,โครงการทัวร์สวนสัตว์,สวนสัตว์อุบลราชธานี,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
41,ผู้ใหญ่ (ชาวต่างชาติ),สวนสัตว์อุบลราชธานี,2568, 305 , 225 , 309 , 338 , 204 , 206 , 213 , 170 , 182 , 183 , 144 , 112 
42,เด็ก (ชาวต่างชาติ),สวนสัตว์อุบลราชธานี,2568, 66 , 53 , 77 , 58 , 37 , 39 , 34 , 27 , 45 , 47 , 36 , 11 
43,ผู้ใหญ่ (สวนสัตว์กลางคืน),สวนสัตว์อุบลราชธานี,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
44,เด็ก (สวนสัตว์กลางคืน),สวนสัตว์อุบลราชธานี,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
45,ยกเว้น,สวนสัตว์อุบลราชธานี,2568," 9,790 "," 3,581 "," 8,714 "," 11,127 "," 3,743 "," 2,844 "," 4,755 "," 3,239 "," 3,771 "," 3,881 "," 4,952 "," 2,289 "
46,ผู้ใหญ่,สวนสัตว์ขอนแก่น,2568," 66,121 "," 18,633 "," 30,893 "," 29,510 "," 12,889 "," 13,521 "," 23,409 "," 14,670 "," 13,046 "," 17,200 "," 19,209 "," 8,574 "
47,เด็ก,สวนสัตว์ขอนแก่น,2568," 27,119 "," 7,287 "," 7,482 "," 7,927 "," 4,557 "," 5,102 "," 9,568 "," 5,442 "," 3,746 "," 5,935 "," 6,124 "," 2,885 "
48,โครงการให้บริการความรู้ อสส.,สวนสัตว์ขอนแก่น,2568," 1,770 "," 1,747 "," 6,543 "," 10,626 "," 19,894 "," 16,287 ", 189 , 104 , 966 ," 3,351 "," 13,210 "," 14,265 "
49,โครงการทัวร์สวนสัตว์,สวนสัตว์ขอนแก่น,2568, 399 , 284 , 923 ," 1,133 "," 3,249 "," 4,179 ", 36 , 44 , 120 , 712 ," 4,198 "," 3,909 "
50,ผู้ใหญ่ (ชาวต่างชาติ),สวนสัตว์ขอนแก่น,2568," 1,275 ", 966 ," 1,784 "," 1,399 ", 844 , 743 , 693 , 498 , 871 ," 1,031 "," 1,543 ", 494 
51,เด็ก (ชาวต่างชาติ),สวนสัตว์ขอนแก่น,2568, 380 , 256 , 462 , 345 , 192 , 212 , 161 , 107 , 268 , 311 , 535 , 114 
52,ผู้ใหญ่ (สวนสัตว์กลางคืน),สวนสัตว์ขอนแก่น,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
53,เด็ก (สวนสัตว์กลางคืน),สวนสัตว์ขอนแก่น,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
54,ยกเว้น,สวนสัตว์ขอนแก่น,2568," 20,234 "," 5,921 "," 15,865 "," 17,262 "," 8,558 "," 3,977 "," 6,504 "," 4,044 "," 4,851 "," 5,844 "," 7,216 "," 3,041 "
55,ผู้ใหญ่,โครงการคชอาณาจักร จังหวัดสุรินทร์,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
56,เด็ก,โครงการคชอาณาจักร จังหวัดสุรินทร์,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
57,โครงการให้บริการความรู้ อสส.,โครงการคชอาณาจักร จังหวัดสุรินทร์,2568, 16 , 20 , 429 , 806 ," 4,206 "," 2,053 ", -   , -   , 50 ," 2,600 ", -   , 88 
58,โครงการทัวร์สวนสัตว์,โครงการคชอาณาจักร จังหวัดสุรินทร์,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
59,ผู้ใหญ่ (ชาวต่างชาติ),โครงการคชอาณาจักร จังหวัดสุรินทร์,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
60,เด็ก (ชาวต่างชาติ),โครงการคชอาณาจักร จังหวัดสุรินทร์,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
61,ผู้ใหญ่ (สวนสัตว์กลางคืน),โครงการคชอาณาจักร จังหวัดสุรินทร์,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
62,เด็ก (สวนสัตว์กลางคืน),โครงการคชอาณาจักร จังหวัดสุรินทร์,2568, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
63,ยกเว้น,โครงการคชอาณาจักร จังหวัดสุรินทร์,2568," 2,372 "," 1,406 "," 1,901 "," 1,619 ", 728 , 839 , 362 , 775 , 393 , 627 , 666 ," 1,616 "
