zoo,category,fiscal_year,oct_67,nov_67,dec_67,jan_68,feb_68,mar_68,apr_68,may_68,jun_68,jul_68,aug_68,sep_68,total_visitors
สวนสัตว์อุบลราชธานี,ยกเว้น,2568,9790,3581,8714,11127,3743,2844,4755,3239,3771,3881,4952,2289,62686
สวนสัตว์ขอนแก่น,ผู้ใหญ่,2568,66121,18633,30893,29510,12889,13521,23409,14670,13046,17200,19209,8574,267675
สวนสัตว์ขอนแก่น,เด็ก,2568,27119,7287,7482,7927,4557,5102,9568,5442,3746,5935,6124,2885,93174
สวนสัตว์ขอนแก่น,โครงการให้บริการความรู้ อสส.,2568,1770,1747,6543,10626,19894,16287,189,104,966,3351,13210,14265,88952
สวนสัตว์ขอนแก่น,โครงการทัวร์สวนสัตว์,2568,399,284,923,1133,3249,4179,36,44,120,712,4198,3909,19186
สวนสัตว์ขอนแก่น,ผู้ใหญ่ (ชาวต่างชาติ),2568,1275,966,1784,1399,844,743,693,498,871,1031,1543,494,12141
สวนสัตว์ขอนแก่น,เด็ก (ชาวต่างชาติ),2568,380,256,462,345,192,212,161,107,268,311,535,114,3343
สวนสัตว์ขอนแก่น,ผู้ใหญ่ (สวนสัตว์กลางคืน),2568,0,0,0,0,0,0,0,0,0,0,0,0,0
สวนสัตว์ขอนแก่น,เด็ก (สวนสัตว์กลางคืน),2568,0,0,0,0,0,0,0,0,0,0,0,0,0
สวนสัตว์ขอนแก่น,ยกเว้น,2568,20234,5921,15865,17262,8558,3977,6504,4044,4851,5844,7216,3041,103317
โครงการคชอาณาจักร จังหวัดสุรินทร์,ผู้ใหญ่,2568,0,0,0,0,0,0,0,0,0,0,0,0,0
โครงการคชอาณาจักร จังหวัดสุรินทร์,เด็ก,2568,0,0,0,0,0,0,0,0,0,0,0,0,0
โครงการคชอาณาจักร จังหวัดสุรินทร์,โครงการให้บริการความรู้ อสส.,2568,16,20,429,806,4206,2053,0,0,50,2600,0,88,10268
โครงการคชอาณาจักร จังหวัดสุรินทร์,โครงการทัวร์สวนสัตว์,2568,0,0,0,0,0,0,0,0,0,0,0,0,0
โครงการคชอาณาจักร จังหวัดสุรินทร์,ผู้ใหญ่ (ชาวต่างชาติ),2568,0,0,0,0,0,0,0,0,0,0,0,0,0
โครงการคชอาณาจักร จังหวัดสุรินทร์,เด็ก (ชาวต่างชาติ),2568,0,0,0,0,0,0,0,0,0,0,0,0,0
โครงการคชอาณาจักร จังหวัดสุรินทร์,ผู้ใหญ่ (สวนสัตว์กลางคืน),2568,0,0,0,0,0,0,0,0,0,0,0,0,0
โครงการคชอาณาจักร จังหวัดสุรินทร์,เด็ก (สวนสัตว์กลางคืน),2568,0,0,0,0,0,0,0,0,0,0,0,0,0
โครงการคชอาณาจักร จังหวัดสุรินทร์,ยกเว้น,2568,2372,1406,1901,1619,728,839,362,775,393,627,666,1616,13304
